uid,昵称,性别,点赞,个人签名,等级,评论内容
498656708,上原步梦不在家,女,0,腐女给爷爬,5,wc，好涩
3494353404168953,NOPROBRENM,保密,4,,3,把老角色抽象的命座重做一下呗，反正很多老角色复刻流水差，重做说不定还多点[喜极而泣]
480903577,洛蕾塔-8,保密,2,"仇忾无涯，征逐无疆，猎君几多愁？
辰矢在弦，金瞳炽焱，帝弓莫回首。",3,[给心心]
1371064792,就学一段不知道,保密,0,,3,歪了小保底，爆率稍微提升一点吧。真的心态崩
22040746,lin_wood,男,1,我是b站的小萌新,6,我放弃了，达达鸭已经三命了，还是没有菲米尼[保卫萝卜_白眼]
109460512,画师的蠢喵,保密,0,咸鱼UP，等up练出肌肉,5,70发出了一个，其他全是满精重复武器，大保底也快满了，离谱啊米哈游，钱都冲给狗了，次次保底吃满[大哭]
677962296,一只迷茫的海豹,保密,0,,5,为了抽早柚给老登抽出来了[藏狐]第三十发老登，第四十发早柚[藏狐]
110512724,海盐芝士焗白夜,保密,0,愿爱比恨长久。,5,保底鸭鸭都出了，菲米尼还没来[大哭][大哭][大哭]
396404388,星尘龙的主人,女,0,菜,6,"社恐人找到了知己[妙啊]
抽出来看待机动作，他把头盔套上了
我：菲米尼要隔着头盔做什么呢？
菲米尼：直接关机
乐了"
415170869,64914956909_bili,保密,0,,3,"今天在公交车上遇到了一个萌新在玩原神，在打湖畔的维维安涅，他打到了公交车停止运营，可是依旧非常认真努力。
然后我到家了。
……
但是我记下了他的游戏UID:101592757如果有人想认识他的话，就快去加他好友，带他刷本刷boss。我真的不忍心看着他一个人闯荡提瓦特大陆"
3493106993335200,Srat皆空,保密,2,,2,官方你人可真好！[吃瓜]
489734017,罗伯特粉肠,保密,1,门门懂样样瘟,5,钟离三连歪，菲米尼影子也没见着[大哭][大哭][大哭]
10096471,公民的基本权利,女,0,出生是死亡的开始，死是现实的延续，生是梦的结束,6,音乐会价格快端上来罢
1596780379,-长野原美绪-,女,0,,4,抽到了，怎么玩[脸红]
348858025,神秘原神高手,保密,0,想看我玩不玩原神是吧？,5,端上来吧
2494384,遠藤屮弘土,保密,0,,6,40抽全是早柚[tv_白眼]
3537125381245141,bili_3537125381245141,保密,0,,2,来个四星定轨吧
3126392,六日不詹,保密,0,二次元阿宅，记录一些日常生活,6,帝君没来，菲米尼满命了[笑哭]这不知是一种幸运还是不幸
296556393,海绵宝宝马嘉祺儿,男,1,博君一肖是真的,5,停服
2066108001,128-IK,保密,1,,3,萌新入坑，一组198一堆月卡一张大月卡，夜兰歪提纳里，最后大保底。钟离歪刻晴，正在肝大保底，常驻保底狼末没有能用的大剑，之前夜兰池子200多抽就一只琳妮特，全是芭芭拉和破铜烂铁，明明之前还在网上和那些说逼氪的对线，唉，真心累了
1814530709,安静不是美男子,保密,0,达瓦里希 乌拉 乌拉 乌拉,5,播放量不高阿
210329957,白嫖之圣,男,1,,5,祝大家十连出金[打call][打call][打call]
210329957,白嫖之圣,男,2,,5,哈哈[嘟嘟]
39491432,不二兔贩卖机,女,0,Bibbidi bobbidi boo yah~,6,钟离歪了七七[委屈]
401812153,羟基瑶瑶要咬瑶,保密,1,非常抱歉，因学业问题长时间停更,6,物理队或者纯冰伤队，物理流就苍白，e打4阶伤害。冰队就连e打碎冰咯
323055261,花京院和哈密瓜,女,0,,4,怎么个打发没看懂
1521385,兵胜如水流,保密,0,,5,[tv_doge]钟剑，终于适配了
243647396,陈_旻昱秀全,男,1,我的过往堪比冒险小说，不断前进 不断得到和失去……但我这人可是很贪的，就见不得好东西被糟蹋遗忘。愿 终有一日 能建成可以无所不装的小世界。,6,我希望他至少能修好钟剑 我要它恢复到至少能滴答滴答走的程度[藏狐]
353061648,up小后,保密,0,,5,为什么有歪这个机制，别人想抽喜欢的还给玩家别的
247686702,冰释喆珍,保密,0,,5,上位替代是谁啊？狠狠地期待住了[吃瓜]
826265,曾经长不胖の胖子,保密,0,,6,60抽一个都没有，我还不想用掉大保底啊。[无语]
434860611,想学啊教你啊,保密,1,,5,超导是冰伤，碎冰是物伤，水雷共存。机制还挺合理混伤角色。
41585623,闪腰会很痛,保密,0,快倒闭吧,6,抽了51抽，早柚都抽满命了还不来一只，不敢抽了
1361886882,夜雨不要难过了哦,保密,0,,4,想捞个新角色，一发十连下去竟然出了小保底莫娜，跟上次的夜兰之间就隔了九发，震惊到我了
386469805,二鬼子什么时候凉,保密,0,以恶心任何不友好国家为己任，最好令其破防，包括但不限于美国，日本，韩国，澳大利亚，加拿大……,5,前来还怨，已经连续三次大保底，原神永远不见[大哭]
4143208,Armo苏苏,保密,1,我是更科瑠夏的狗,6,吓我一跳，我以为出bug头没了[呆]
689741162,山子楂,保密,0,⸜₍๑•⌔•๑₎⸝,4,100多抽才两只[保卫萝卜_哭哭][保卫萝卜_哭哭]
362797052,Iyannnn,女,0,王俊凯想做什么就做什么,5,捞不出来 你有什么头绪吗
272350547,猫猫猫不知道哦,男,0,这个人词穷了，什么也没有写,5,戴因，我的谜语呢？
482454916,TJMtjm,保密,1,tjm,5,抽不到 不敢在抽了 在抽害怕突然出了
3537125381245141,bili_3537125381245141,保密,0,,2,池子里全是菲谢尔[辣眼睛]
1932547479,碎大爷,女,0,原神ID197307751,5,这个机制真奇妙，听不懂[妙啊]
518627659,莘宇lz,女,0,,5,宝宝宝宝，可爱可爱，亲亲亲亲！
1512888346,onlyjust优雅,男,1,,2,为什么注册身份证号的时候，显示格式错误啊[大哭]
400826403,柑橘味的太阳,男,5,,5,虽然和这个视频没关系... 但是能不能出个蕈兽孢子转化的功能，我一个变质的有几千个，原个的一个都没有[tv_难过]
33296344,一梦荒城不知年,保密,1,,6,"佩伊以前叫什么呢？
叫米尼，所以它会被击飞！
为什么现在叫佩伊呢？
因为菲米尼没钱了只能配一个了。"
3493281535101865,在天上的小云,男,0,今天很快乐,2,iPad什么时候可以键鼠
10242611,鸽子上尉,保密,0,硬核休闲玩家,6,什么男三连，你是懂运营的
3251749,mseater,保密,3,,6,博士啥时进卡池[喜欢]，想看水神博士贴贴，然后再安排个法官工作，毕竟罪犯也有法律援助的权利[喜欢]
